Row number,Date,Hr,Mainland Air Temp,Humidity (%),Direction (A),Wind Speed (A),Gusting,Atmospheric Pressure (IN),Precipitation Rate,Bay Temp,Salinity,LBI Air Temp,Ocean Temp,Onshore,upwelling_flag
98,6/5/2025,0,18.7,81.0,10,1.9,3.1,30.09,0.0,20.25,27.03,21.3,15.6,0,0
99,6/5/2025,1,18.0,82.0,9,3.8,8.9,30.07,0.0,20.06,26.79,21.3,15.5,0,0
100,6/5/2025,2,17.7,81.0,10,4.3,7.0,30.07,0.0,19.96,26.98,20.2,15.5,0,0
101,6/5/2025,3,17.2,83.0,9,2.9,4.9,30.05,0.0,19.84,27.5,18.2,15.5,0,0
102,6/5/2025,4,16.7,85.0,10,0.9,2.3,30.04,0.0,19.72,27.68,19.8,15.7,0,0
103,6/5/2025,5,16.2,87.0,10,2.8,5.2,30.04,0.0,19.71,27.67,20.4,15.6,0,0
104,6/5/2025,6,16.1,89.0,11,2.1,4.2,30.05,0.0,19.75,27.98,20.2,15.5,0,0
105,6/5/2025,7,16.8,91.0,10,2.1,3.5,30.06,0.0,19.63,28.45,20.2,15.5,0,0
106,6/5/2025,8,18.3,92.0,10,4.4,8.0,30.07,0.0,19.9,28.3,20.5,15.5,0,0
107,6/5/2025,9,22.1,83.0,10,6.0,9.9,30.07,0.0,20.3,27.94,22.0,15.6,0,0
108,6/5/2025,10,27.6,62.0,10,3.6,6.7,30.05,0.01,20.41,27.68,23.0,15.6,0,0
109,6/5/2025,11,30.0,55.0,10,4.4,8.6,30.04,0.0,20.88,27.1,22.9,15.6,0,0
110,6/5/2025,12,31.7,54.0,8,8.1,12.2,30.02,0.0,20.96,27.09,24.1,15.5,1,0
111,6/5/2025,13,33.2,48.0,8,9.4,15.6,30.01,0.0,20.97,27.18,24.1,15.5,1,0
112,6/5/2025,14,32.3,50.0,9,9.8,14.8,29.98,0.0,20.87,27.75,25.9,15.6,0,0
113,6/5/2025,15,30.4,56.0,8,10.1,17.1,29.98,0.0,21.3,28.2,24.3,15.6,1,0
114,6/5/2025,16,28.4,60.0,8,11.6,19.0,29.96,0.0,21.59,28.25,23.4,15.7,1,0
115,6/5/2025,17,27.4,64.0,10,9.1,13.9,29.97,0.0,21.49,28.51,22.6,15.8,0,0
116,6/5/2025,18,26.2,68.0,10,10.2,14.6,29.96,0.0,21.64,28.56,22.8,15.9,0,0
117,6/5/2025,19,25.3,70.0,10,6.5,11.3,29.96,0.0,20.77,29.61,22.7,16.2,0,0
118,6/5/2025,20,23.7,75.0,10,6.9,11.6,29.96,0.0,20.61,29.54,21.9,16.3,0,0
119,6/5/2025,21,22.1,79.0,9,4.8,8.5,29.96,0.0,21.7,28.55,21.8,16.4,0,0
120,6/5/2025,22,21.4,81.0,10,3.0,5.0,29.96,0.0,21.36,28.39,21.6,16.5,0,0
121,6/5/2025,23,20.8,83.0,9,3.3,5.7,29.97,0.0,21.47,27.79,21.4,16.5,0,0
122,6/6/2025,0,20.1,86.0,10,2.1,3.9,29.96,0.0,21.55,27.13,21.4,16.5,0,0
123,6/6/2025,1,19.2,88.0,11,1.7,3.8,29.96,0.0,21.47,26.37,21.0,16.5,0,0
124,6/6/2025,2,18.6,90.0,10,2.9,5.8,29.94,0.0,21.41,26.0,21.1,16.4,0,0
125,6/6/2025,3,18.1,91.0,10,2.0,3.5,29.92,0.0,21.19,26.53,20.1,16.4,0,0
126,6/6/2025,4,17.7,92.0,9,2.3,3.1,29.92,0.0,21.03,26.84,20.5,16.2,0,0
127,6/6/2025,5,17.7,93.0,10,2.4,4.3,29.91,0.0,20.78,27.79,20.4,16.2,0,0
128,6/6/2025,6,17.2,93.0,10,1.9,2.9,29.92,0.0,20.56,28.82,20.2,16.2,0,0
129,6/6/2025,7,17.7,94.0,9,3.0,5.7,29.93,0.0,20.59,28.74,19.8,16.2,0,0
130,6/6/2025,8,18.9,95.0,11,1.8,4.0,29.92,0.0,20.44,28.91,20.3,16.3,0,0
131,6/6/2025,9,21.8,95.0,8,4.8,6.0,29.91,0.0,21.25,28.24,17.9,16.3,1,0
132,6/6/2025,10,22.7,85.0,8,6.2,8.8,29.91,0.0,21.28,26.87,20.0,16.3,1,0
133,6/6/2025,11,28.4,70.0,9,4.2,6.8,29.9,0.0,21.23,27.47,22.7,16.3,0,0
134,6/6/2025,12,32.3,57.0,9,6.7,12.2,29.89,0.0,21.48,27.48,23.9,16.4,0,0
135,6/6/2025,13,31.2,60.0,8,13.0,20.2,29.89,0.0,21.78,27.56,23.5,16.4,1,0
136,6/6/2025,14,30.9,60.0,8,11.5,17.7,29.88,0.0,21.88,27.8,24.6,16.4,1,0
137,6/6/2025,15,30.2,56.0,9,10.3,18.3,29.86,0.0,21.83,28.37,24.5,16.6,0,0
138,6/6/2025,16,28.2,60.0,8,9.2,14.1,29.86,0.0,22.38,28.39,24.4,17.4,1,0
139,6/6/2025,17,28.6,59.0,9,6.6,10.8,29.84,0.0,22.19,28.31,24.7,17.2,0,0
140,6/6/2025,18,28.8,59.0,10,5.5,8.9,29.83,0.0,21.07,28.91,25.2,17.3,0,0
141,6/6/2025,19,27.1,73.0,8,6.5,10.4,29.8,0.0,21.55,28.83,22.7,17.3,1,0
142,6/6/2025,20,24.8,80.0,8,2.9,6.1,29.8,0.01,21.91,29.46,20.6,17.2,1,0
143,6/6/2025,21,22.6,85.0,8,4.1,5.7,29.81,0.01,20.47,29.6,19.4,17.3,1,0
144,6/6/2025,22,21.2,88.0,8,0.9,4.7,29.82,0.0,21.69,28.77,19.5,17.3,1,0
145,6/6/2025,23,20.6,89.0,8,1.7,2.7,29.82,0.0,22.35,28.58,19.3,17.2,1,0
146,6/7/2025,0,21.1,92.0,8,4.9,7.3,29.82,0.0,21.81,26.68,19.4,17.2,1,0
147,6/7/2025,1,20.8,93.0,8,1.2,2.1,29.8,0.0,21.62,28.59,19.7,17.1,1,0
148,6/7/2025,2,20.4,93.0,9,1.1,1.9,29.78,0.0,22.15,27.57,20.3,17.0,0,0
149,6/7/2025,3,20.3,93.0,10,1.0,1.9,29.76,0.0,22.17,26.97,19.2,17.0,0,0
150,6/7/2025,4,20.3,94.0,10,0.2,0.8,29.75,0.0,21.55,28.33,18.9,17.0,0,0
151,6/7/2025,5,20.0,94.0,8,1.6,2.5,29.74,0.0,21.34,28.33,18.9,17.0,1,0
152,6/7/2025,6,19.8,94.0,8,0.9,1.7,29.74,0.0,21.12,28.88,19.5,17.0,1,0
153,6/7/2025,7,20.2,95.0,8,1.0,1.9,29.74,0.0,21.04,28.87,20.8,17.0,1,0
154,6/7/2025,8,20.7,95.0,8,1.5,2.4,29.73,0.0,20.85,28.93,20.9,17.0,1,0
155,6/7/2025,9,21.2,95.0,11,2.2,3.3,29.75,0.0,20.93,29.04,21.6,17.0,0,0
156,6/7/2025,10,22.0,95.0,14,2.0,3.4,29.73,0.0,21.76,28.6,21.4,17.1,0,0
157,6/7/2025,11,24.3,87.0,11,3.1,4.9,29.72,0.0,21.78,28.57,21.3,17.1,0,0
158,6/7/2025,12,25.6,78.0,11,1.9,5.0,29.72,0.0,21.43,28.78,22.3,17.2,0,0
159,6/7/2025,13,24.8,82.0,10,3.8,8.7,29.72,0.0,22.26,27.76,23.1,17.3,0,0
160,6/7/2025,14,24.1,83.0,10,5.1,7.7,29.7,0.0,22.44,27.08,23.4,17.5,0,0
161,6/7/2025,15,23.8,87.0,10,3.5,5.9,29.68,0.0,22.5,27.08,23.2,17.8,0,0
162,6/7/2025,16,23.7,89.0,10,4.0,7.0,29.68,0.0,22.55,27.21,23.3,17.8,0,0
163,6/7/2025,17,25.1,86.0,10,6.0,9.1,29.66,0.0,22.27,27.86,23.6,17.8,0,0
164,6/7/2025,18,27.6,73.0,10,3.3,4.9,29.67,0.0,21.57,28.72,24.2,17.8,0,0
165,6/7/2025,19,26.3,76.0,10,2.3,4.2,29.67,0.0,20.2,29.41,24.1,17.5,0,0
166,6/7/2025,20,25.4,80.0,9,2.0,5.0,29.68,0.0,19.46,29.9,23.5,17.5,0,0
167,6/7/2025,21,23.8,82.0,13,1.1,3.0,29.69,0.0,19.07,30.14,22.9,17.5,0,0
168,6/7/2025,22,22.7,86.0,15,3.4,6.5,29.73,0.0,21.28,29.0,23.2,17.5,0,0
169,6/7/2025,23,21.9,83.0,15,0.6,1.5,29.74,0.0,21.51,28.53,22.9,17.6,0,0
170,6/8/2025,0,20.9,84.0,15,1.3,2.0,29.75,0.0,21.54,28.21,22.8,17.5,0,0
171,6/8/2025,1,19.8,87.0,15,0.8,2.0,29.74,0.0,21.36,28.58,22.2,17.5,0,0
172,6/8/2025,2,19.1,90.0,0,2.7,5.4,29.73,0.0,21.24,28.49,20.7,17.5,0,0
173,6/8/2025,3,18.8,91.0,14,2.7,5.3,29.73,0.0,20.98,28.3,20.5,17.4,0,0
174,6/8/2025,4,18.8,91.0,14,3.9,8.3,29.73,0.01,21.07,28.0,20.2,17.4,0,0
175,6/8/2025,5,18.7,90.0,2,6.2,11.3,29.73,0.0,20.59,28.31,19.3,17.3,1,0
176,6/8/2025,6,18.6,91.0,2,4.2,7.4,29.75,0.0,20.21,28.71,19.4,17.2,1,0
177,6/8/2025,7,18.7,90.0,2,6.8,12.1,29.76,0.0,20.27,28.61,19.1,17.1,1,0
178,6/8/2025,8,18.7,90.0,2,6.7,11.2,29.76,0.0,20.3,28.77,18.9,17.0,1,0
179,6/8/2025,9,18.8,89.0,2,6.6,12.0,29.78,0.0,20.33,28.96,18.6,16.9,1,0
180,6/8/2025,10,18.3,89.0,2,4.8,9.6,29.79,0.0,20.25,28.87,18.3,16.9,1,0
181,6/8/2025,11,18.3,91.0,3,5.9,12.8,29.79,0.0,20.26,28.75,17.9,16.9,1,0
182,6/8/2025,12,17.8,93.0,2,4.9,9.5,29.79,0.0,20.6,28.31,17.9,16.8,1,0
183,6/8/2025,13,17.4,94.0,2,6.2,12.7,29.79,0.0,20.55,28.32,17.7,16.8,1,0
184,6/8/2025,14,17.2,94.0,2,6.3,12.0,29.78,0.0,20.48,28.34,17.6,16.0,1,0
185,6/8/2025,15,16.9,95.0,2,6.8,11.5,29.79,0.0,20.53,28.25,17.6,16.8,1,0
186,6/8/2025,16,16.8,95.0,3,5.8,11.4,29.79,0.0,20.51,28.17,17.3,16.7,1,0
187,6/8/2025,17,16.6,95.0,3,6.9,11.6,29.78,0.0,20.51,28.14,17.5,16.7,1,0
188,6/8/2025,18,16.6,95.0,3,6.1,10.4,29.78,0.0,20.11,28.81,17.3,16.6,1,0
189,6/8/2025,19,16.4,95.0,3,6.1,11.2,29.79,0.0,19.21,29.42,17.3,16.6,1,0
190,6/8/2025,20,16.3,95.0,3,4.6,10.3,29.8,0.0,19.81,28.8,17.4,16.6,1,0
191,6/8/2025,21,16.3,95.0,3,3.8,7.7,29.81,0.0,16.58,31.14,17.4,16.6,1,0
192,6/8/2025,22,16.4,96.0,3,6.4,6.9,29.8,0.0,16.41,31.1,17.2,16.5,1,0
193,6/8/2025,23,16.2,96.0,3,4.1,8.9,29.7,0.0,17.54,30.41,17.2,16.5,1,0
194,6/9/2025,0,16.2,96.0,3,4.1,9.7,29.71,0.0,19.03,29.45,17.1,16.5,1,0
